ID,Age,Gender,Department_Major,Department_Minor,質問1,質問2,質問3,質問4,質問5,質問6,質問7,質問8,質問9,質問10,質問11,質問12,質問13,質問14,質問15,質問16,質問17,質問18,質問19,質問20,質問21,質問22,質問23,質問24,質問25,質問26,質問27,質問28,質問29,質問30,質問31,質問32,質問33,質問34,質問35,質問36,質問37,質問38,質問39,質問40,質問41,質問42,質問43,質問44,質問45,質問46,質問47,質問48,質問49,質問50,質問51,質問52,質問53,質問54,質問55,質問56,質問57,質問58,質問59,質問60,質問61,質問62,質問63,質問64,質問65,質問66,質問67,質問68,質問69,質問70,質問71,質問72,質問73,質問74,質問75,質問76,質問77,質問78,質問79,質問80
27,52,女性,生産本部,品質保証部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
28,47,女性,企画部,経営企画課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
29,25,女性,企画部,経営企画課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
30,41,女性,マーケット戦略部,マーケット戦略1課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
31,29,女性,マーケット戦略部,UX開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
32,38,男性,生産本部,製造第一課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
33,28,女性,生産本部,製造第一課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
34,45,男性,企画部,広報IR課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
35,30,男性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
36,20,女性,管理本部,法務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
37,57,女性,生産本部,生産管理部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
38,26,女性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
39,40,男性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
40,36,男性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
41,32,女性,マーケット戦略部,マーケット戦略1課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
42,38,男性,営業本部,国内営業第一部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
43,20,男性,企画部,広報IR課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
44,44,女性,管理本部,総務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
45,48,男性,企画部,経営企画課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
46,32,男性,管理本部,経理部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
47,40,女性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
48,51,男性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
49,22,女性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
50,24,男性,生産本部,製造第一課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
51,33,女性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
52,33,女性,開発本部,デザイン部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
53,33,女性,営業本部,国内営業第一部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
54,36,女性,管理本部,総務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
55,46,男性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
56,59,男性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
57,41,男性,マーケット戦略部,マーケット戦略1課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
58,27,男性,管理本部,総務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
59,48,女性,生産本部,生産管理部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
60,60,女性,企画部,事業開発課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
61,34,女性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
62,23,女性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
63,53,男性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
64,27,女性,マーケット戦略部,マーケット戦略1課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
65,57,男性,企画部,経営企画課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
66,52,男性,管理本部,法務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
67,23,女性,開発本部,デザイン部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
68,53,女性,マーケット戦略部,マーケット戦略2課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
69,47,男性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
70,42,女性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
71,60,男性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
72,41,女性,マーケット戦略部,マーケット戦略2課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
73,41,女性,生産本部,製造第二課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
74,32,女性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
